	Lichen
Cla_A_Chi	Cladonia
Cla_K1_Chi	Cladonia
Cla_K2_Chi	Cladonia
Cla_L_Chi	Cladonia
Co_A_Chi	Cora
Co_H1_Chi	Cora
Co_H2_Chi	Cora
Co_I_Chi	Cora
Co_L_Chi	Cora
Hyp_B_Chi	Hypotrachyna
Hyp_H_Chi	Hypotrachyna
Hyp_M_Chi	Hypotrachyna
Hyp_N_Chi	Hypotrachyna
Ptg_C_Chi	Peltigera
Ptg_N_Chi	Peltigera
Stc_A_Chi	Stereocaulon
Stc_J_Chi	Stereocaulon
Stc_L_Chi	Stereocaulon
Stt_A_Chi	Sticta
Stt_B_Chi	Sticta
Stt_C_Chi	Sticta
Stt_E_Chi	Sticta
Stt_F_Chi	Sticta
Us_E_Chi	Usnea
Us_G_Chi	Usnea
Us_K_Chi	Usnea
Cla_B_Nev	Cladonia
Cla_C_Nev	Cladonia
Cla_D_Nev	Cladonia
Cla_E_Nev	Cladonia
Cla_F_Nev	Cladonia
Co_B_Nev	Cora
Co_F_Nev	Cora
Hyp_C_Nev	Hypotrachyna
Hyp_E_Nev	Hypotrachyna
Hyp_F_Nev	Hypotrachyna
Ptg_F_Nev	Peltigera
Stc_A_Nev	Stereocaulon
Stc_B_Nev	Stereocaulon
Stc_D_Nev	Stereocaulon
Stc_F_Nev	Stereocaulon
Stt_C_Nev	Sticta
Stt_D_Nev	Sticta
Us_A_Nev	Usnea
Us_C_Nev	Usnea
Us_D_Nev	Usnea
Us_E_Nev	Usnea
